year,countryCode,country,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,Qscore,total,GDP,population,
2015,13,Bahrain,EFProdPerCap,0.007998118,0,0.001945993,0.030225284,0.070702671,8.088108057,3A,8.198980123,22435.73438,1371850,
2015,13,Bahrain,EFProdTotGHA,10972.21823,0,2669.610355,41464.55558,96993.45727,11095670.84,3A,11247770.68,22435.73438,1371850,
2015,13,Bahrain,GDP,,,,,,,,22435.73438,22435.73438,1371850,
2015,13,Bahrain,HDI,,,,,,,,0.84799999,15836.38281,1371850,
2015,13,Bahrain,Population,,,,,,,,1371850,15836.38281,1371850,
2015,14,Barbados,AreaPerCap,0.031543087,0.007009575,0.022080161,0.14264485,0.022466529,0,3A,0.225744203,15836.38281,285324,
2015,14,Barbados,AreaTotHA,9000,2000,6300,40700,6410.240173,0,3A,64410.24017,15836.38281,285324,
2015,14,Barbados,BiocapPerCap,0.05376485,0.003158011,0.018470877,0.042990716,0.038293956,0,3A,0.15667841,15836.38281,285324,
2015,14,Barbados,BiocapTotGHA,15340.40248,901.0562506,5270.184488,12266.2834,10926.18492,0,3A,44704.11153,15836.38281,285324,
2015,14,Barbados,Earths,0.355452204,0.189243135,0.11268802,0.153265597,0.023646274,1.600934151,3A,2.435229381,15836.38281,285324,
2015,14,Barbados,EFConsPerCap,0.575637026,0.306469771,0.182492599,0.248205951,0.038293956,2.592632603,3A,3.943731905,15836.38281,285324,
2015,14,Barbados,EFConsTotGHA,164243.0617,87443.18239,52069.51922,70819.11591,10926.18492,739740.3182,3A,1125241.382,15836.38281,285324,
2015,14,Barbados,EFExportsPerCap,0.061865327,0.000983724,0.010103653,0.006338003,0,0.395340311,3A,0.474631018,15836.38281,285324,
2015,14,Barbados,EFExportsTotGHA,17651.66278,280.6801743,2882.814806,1808.384477,0,112800.0809,3A,135423.6231,15836.38281,285324,
2015,14,Barbados,EFImportsPerCap,0.583737502,0.304295484,0.171466843,0.161126178,0,1.431447403,3A,2.65207341,15836.38281,285324,
2015,14,Barbados,EFImportsTotGHA,166554.3221,86822.80631,48923.60628,45973.16638,0,408426.3062,3A,756700.2072,15836.38281,285324,
2015,14,Barbados,EFProdPerCap,0.05376485,0.003158011,0.02112941,0.093417776,0.038293956,1.556525511,3A,1.766289514,15836.38281,285324,
2015,14,Barbados,EFProdTotGHA,15340.40248,901.0562506,6028.727748,26654.33401,10926.18492,444114.0929,3A,503964.7983,15836.38281,285324,
2015,14,Barbados,GDP,,,,,,,,15836.38281,15836.38281,285324,
2015,14,Barbados,HDI,,,,,,,,0.809000015,1002.388733,285324,
2015,14,Barbados,Population,,,,,,,,285324,1002.388733,285324,
2015,16,Bangladesh,AreaPerCap,0.054796232,0.003839853,0.012053297,0.050680294,0.015854879,0,3A,0.137224554,1002.388733,156256000,
2015,16,Bangladesh,AreaTotHA,8562240,600000,1883400,7919100,2477419.922,0,3A,21442159.92,1002.388733,156256000,
2015,16,Bangladesh,BiocapPerCap,0.268647044,0.003283853,0.005328839,0.052613365,0.077731007,0,3A,0.407604109,1002.388733,156256000,
2015,16,Bangladesh,BiocapTotGHA,41977712.55,513121.6936,832663.142,8221153.963,12145936.27,0,3A,63690587.62,1002.388733,156256000,
2015,16,Bangladesh,Earths,0.23911956,0.003046377,0.050268801,0.015527192,0.047998403,0.19710381,3A,0.553064142,1002.388733,156256000,
2015,16,Bangladesh,EFConsPerCap,0.38724214,0.004933454,0.081407803,0.025145508,0.077731007,0.31919974,3A,0.895659653,1002.388733,156256000,
2015,16,Bangladesh,EFConsTotGHA,60508907.87,770881.8163,12720457.71,3929136.569,12145936.27,49876874.55,3A,139952194.8,1002.388733,156256000,
2015,16,Bangladesh,EFExportsPerCap,0.005013868,6.25E-06,4.68E-05,0.000853418,0,0.019143695,3A,0.025064009,1002.388733,156256000,
2015,16,Bangladesh,EFExportsTotGHA,783447.0165,977.3797081,7308.430843,133351.6611,0,2991317.255,3A,3916401.743,1002.388733,156256000,
2015,16,Bangladesh,EFImportsPerCap,0.123608964,0.001655856,0.015221068,0.007085106,0,0.169717264,3A,0.317288258,1002.388733,156256000,
2015,16,Bangladesh,EFImportsTotGHA,19314642.33,258737.5024,2378383.127,1107090.368,0,26519340.75,3A,49578194.08,1002.388733,156256000,
2015,16,Bangladesh,EFProdPerCap,0.268647044,0.003283853,0.066233508,0.01891382,0.077731007,0.168626171,3A,0.603435404,1002.388733,156256000,
2015,16,Bangladesh,EFProdTotGHA,41977712.55,513121.6936,10349383.01,2955397.862,12145936.27,26348851.05,3A,94290402.43,1002.388733,156256000,
2015,16,Bangladesh,GDP,,,,,,,,1002.388733,1002.388733,156256000,
2015,16,Bangladesh,HDI,,,,,,,,0.595000029,2780.81958,156256000,
2015,16,Bangladesh,Population,,,,,,,,156256000,2780.81958,156256000,
2015,18,Bhutan,AreaPerCap,0.154696684,0.567404356,3.730278354,0.038055934,0.126899089,0,3A,4.617334418,2780.81958,727876,
2015,18,Bhutan,AreaTotHA,112600,413000,2715180,27700,92366.7984,0,3A,3360846.798,2780.81958,727876,
2015,18,Bhutan,BiocapPerCap,0.280089685,0.350202931,4.357054897,0.013791654,0.229760102,0,3A,5.230899269,2780.81958,727876,
2015,18,Bhutan,BiocapTotGHA,203870.5528,254904.3007,3171395.588,10038.61363,167236.8584,0,3A,3807445.914,2780.81958,727876,
2015,18,Bhutan,Earths,0.385867502,0.226339408,1.727842228,0.019939208,0.141875402,0.598918755,3A,3.100782501,2780.81958,727876,
2015,18,Bhutan,EFConsPerCap,0.624893076,0.366545324,2.798153872,0.032290547,0.229760102,0.9699189,3A,5.02156182,2780.81958,727876,
